 ID      RAJ2000   DEJ2000     U      SU    B      SB     V      SV     R     SR      I   SI     id     raj2000G     dej2000G     Gmag     e_Gmag     BPmag     e_BPmag     RPmag     e_RPmag     pmRA     e_pmRA     pmDE     e_pmDE     Plx     e_Plx     Rv     e_Rv     P
 309    129.5838 -34.7777   17.289  0.006 17.228  0.001 16.515  0.002 16.051  0.002 15.575  0.001    5638574117221661696 129.583627 -34.777740 16.2620 0.0006 16.6965 0.0049 15.6416 0.0046 -1.8400 0.0690 7.1440 0.0910 0.3318 0.0505 nan nan 0.0000
 899    129.6950 -34.7777   20.778  0.061 19.569  0.013 18.303  0.004 17.527  0.006 16.841  0.001    5638573460084584448 129.695072 -34.777706 17.8181 0.0011 18.5614 0.0173 16.9695 0.0071 0.3240 0.1550 -2.6310 0.1860 0.5303 0.1112 nan nan 0.0000
 906    129.6179 -34.8378   19.731  0.051 19.273  0.015 18.323  0.006 17.726  0.010 17.165  0.001    5638572983350304768 129.617835 -34.837787 17.9950 0.0013 18.5271 0.0207 17.2594 0.0128 -4.1240 0.1700 1.9110 0.2080 0.4439 0.1238 nan nan 0.0000
 915    129.6717 -34.7252   19.622  0.005 19.315  0.018 18.345  0.014 17.763  0.005 17.173  0.001    5638574525236762624 129.671596 -34.725175 18.0038 0.0015 18.5757 0.0166 17.2710 0.0088 -4.9890 0.1750 3.5290 0.2030 0.2188 0.1316 nan nan 0.0000
 638    129.5771 -34.7359   19.106  0.035 18.728  0.011 17.721  0.006 17.118  0.010 16.528  0.001    5638621220121133056 129.577287 -34.735881 17.3551 0.0009 17.9398 0.0105 16.6050 0.0079 -3.2080 0.1270 2.0010 0.1570 0.3888 0.0925 nan nan 0.0000
 831    129.5967 -34.8054   19.788  0.010 19.194  0.014 18.152  0.001 17.546  0.008 16.959  0.001    5638573807984022528 129.596512 -34.805405 17.7945 0.0012 18.2955 0.0185 17.0335 0.0080 -2.4320 0.1530 3.0110 0.1930 0.5123 0.1120 nan nan 0.0011
1258    129.5750 -34.7448   20.343  0.044 19.949  0.018 18.970  0.004 18.339  0.015 17.763  0.001    5638621220121084928 129.575011 -34.744750 18.5988 0.0019 19.1283 0.0343 17.8181 0.0151 -1.7000 0.2450 4.9280 0.3680 0.3213 0.1877 nan nan 0.0000
 619    129.5871 -34.8398   20.182  0.037 19.020  0.017 17.673  0.006 16.854  0.004 16.155  0.001    5638567142194795520 129.586908 -34.839809 17.1553 0.0008 17.9144 0.0120 16.2919 0.0045 -6.3480 0.1100 4.6330 0.1420 1.1529 0.0778 nan nan 0.0000
 427    129.6779 -34.7439   18.036  0.011 17.856  0.003 17.050  0.001 16.558  0.007 16.039  0.001    5638573769322420224 129.678106 -34.743830 16.7827 0.0007 17.2623 0.0077 16.1364 0.0056 -3.9260 0.0840 6.4760 0.1000 0.4248 0.0608 nan nan 0.0000
 705    129.6058 -34.7691   18.798  0.013 18.575  0.004 17.884  0.003 17.467  0.016 16.991  0.001    5638574014142430208 129.605727 -34.769066 17.6669 0.0013 18.0417 0.0186 17.0659 0.0107 -2.3600 0.1450 3.2170 0.1800 0.1330 0.1064 nan nan 0.0002
 302    129.6075 -34.7777   17.275  0.010 16.934  0.005 16.489  0.016 16.239  0.012 15.926  0.001    5638574014142434304 129.607344 -34.777658 16.3778 0.0010 16.5796 0.0062 15.9257 0.0065 -2.5940 0.0890 1.9860 0.1050 0.2073 0.0627 nan nan 0.9847
 971    129.5433 -34.7373   19.469  0.010 19.362  0.011 18.456  0.002 17.868  0.012 17.229  0.001    5638621185761384448 129.543578 -34.737308 18.1233 0.0017 18.6529 0.0161 17.3343 0.0131 -0.9340 0.2260 -3.1120 0.2910 0.3604 0.1591 nan nan 0.0000
 614    129.6833 -34.8079   18.714  0.023 18.551  0.005 17.657  0.007 17.107  0.004 16.556  0.001    5638573253925980160 129.683457 -34.807893 17.3553 0.0009 17.9045 0.0096 16.6503 0.0062 -0.5860 0.1220 -1.0630 0.1530 0.1876 0.0888 nan nan 0.0000
 417    129.6208 -34.7731   19.608  0.052 18.274  0.008 16.976  0.026 16.177  0.002 15.489  0.001    5638573979782683648 129.620939 -34.772492 14.1244 0.0002 14.3044 0.0017 13.7778 0.0029 -2.5420 0.0300 2.1720 0.0360 0.1348 0.0226 nan nan 0.9988
 412    129.6442 -34.8370   17.731  0.007 17.592  0.002 16.952  0.001 16.522  0.004 16.088  0.001    5638572742832121856 129.644410 -34.836970 16.7413 0.0007 17.1366 0.0067 16.1756 0.0036 -3.6370 0.0870 3.5650 0.0960 0.1480 0.0595 nan nan 0.0000
 489    129.6542 -34.7718   18.253  0.013 17.897  0.008 17.275  0.001 16.928  0.004 16.554  0.001    5638573601825548288 129.654214 -34.771816 17.1155 0.0008 17.4452 0.0101 16.6018 0.0103 -2.5790 0.1080 2.1260 0.1250 0.1097 0.0794 nan nan 0.9950
