id     raj2000     dej2000     U     SU     B     SB     V     SV     R     SR     I     SI     Plx     e_Plx     P
0 232.379711 -64.775282 18.7260 0.0375 18.3473 0.0329 17.4128 0.0310 16.8063 0.0266 16.2713 0.0319 0.3919 0.0100 1.0000
1 232.353942 -64.971264 15.9681 0.0311 15.6037 0.0309 15.0937 0.0288 14.7693 0.0242 14.4183 0.0286 0.4253 0.0100 1.0000
2 232.425100 -64.870812 17.9701 0.0335 17.6482 0.0317 16.7650 0.0298 16.2218 0.0253 15.7419 0.0301 0.3646 0.0100 1.0000
3 232.407965 -64.846139 15.7675 0.0311 15.4116 0.0308 14.9018 0.0288 14.6509 0.0242 14.2833 0.0286 0.3938 0.0100 1.0000
4 232.419577 -64.869936 17.4671 0.0322 17.1300 0.0313 16.2869 0.0294 15.8265 0.0248 15.3276 0.0294 0.4197 0.0100 1.0000
5 232.476601 -64.850706 21.3915 0.1509 20.2394 0.0524 18.9886 0.0440 18.2185 0.0395 17.5665 0.0517 0.4211 0.0100 1.0000
6 232.568654 -64.846869 21.3640 0.1578 20.4488 0.0533 19.0052 0.0445 18.3279 0.0400 17.5688 0.0525 0.4009 0.0100 1.0000
7 232.475095 -64.854528 12.8028 0.0309 12.7342 0.0308 12.3828 0.0287 12.1929 0.0240 11.8342 0.0283 0.3967 0.0100 1.0000
8 232.442404 -64.856635 14.1653 0.0310 14.0816 0.0308 13.6709 0.0287 13.4289 0.0240 13.1503 0.0284 0.4183 0.0100 1.0000
9 232.454347 -64.870394 16.7310 0.0315 16.3300 0.0310 15.7255 0.0290 15.3509 0.0244 14.8830 0.0289 0.4190 0.0100 1.0000
10 232.467202 -64.817027 14.7146 0.0310 14.4462 0.0308 13.9350 0.0287 13.6781 0.0241 13.3634 0.0284 0.4250 0.0100 1.0000
11 232.403605 -64.786574 15.5581 0.0311 15.2427 0.0308 14.7584 0.0288 14.5243 0.0242 14.2089 0.0285 0.4062 0.0100 1.0000
12 232.473821 -64.851560 19.0534 0.0402 18.6489 0.0337 17.6182 0.0317 17.0035 0.0273 16.4326 0.0329 0.3970 0.0100 1.0000
13 232.422979 -64.886120 19.5031 0.0475 19.0161 0.0354 17.9422 0.0330 17.3398 0.0286 16.6611 0.0348 0.3880 0.0100 1.0000
14 232.483027 -64.845220 20.1686 0.0676 19.5396 0.0395 18.3637 0.0360 17.7200 0.0318 17.0739 0.0397 0.4195 0.0100 1.0000
15 232.436885 -64.820967 19.6308 0.0524 19.1838 0.0365 18.0539 0.0339 17.4663 0.0296 16.8747 0.0364 0.3790 0.0100 1.0000
16 232.298877 -64.868392 19.7488 0.0543 19.2706 0.0369 18.0871 0.0342 17.5005 0.0298 16.8586 0.0366 0.4058 0.0100 1.0000
17 232.581272 -64.820945 15.1738 0.0310 14.9613 0.0308 14.5122 0.0288 14.2906 0.0241 13.9785 0.0285 0.3950 0.0100 1.0000
18 232.454948 -64.862978 20.3598 0.0932 19.8980 0.0439 18.6944 0.0389 17.9978 0.0347 17.2521 0.0442 0.3796 0.0100 1.0000
